create table ava_list (
cfr text primary key,
state text,
name text,
county text,
within text,
contains text);

copy ava_list from stdin with csv header;
cfr,state,name,county,within,contains
9.97,AZ,Sonoita,Santa Cruz,,
9.259,AZ,Willcox,Cochise|Graham,,
9.77,AK,Altus,Franklin,Arkansas Mountain|Ozark Mountain,
9.112,AK, Arkansas Mountain,Conway|Crawford|Franklin|Johnson|Logan|Madison|Newton|Pope|Sebastian|Van Buren|Yell,Ozark Mountain,Altus
9.238,CA,Adelaida District,San Luis Obispo,Central Coast|Paso Robles,
9.53,CA,Alexander Valley,Sonoma,North Coast|Northern Sonoma,Pine Mountain--Cloverdale Peak|Russian River Valley
9.195,CA,Alta Mesa,Sacramento,Lodi,
9.86,CA,Anderson Valley,Mendocino,Mendocino |North Coast,Mendocino Ridge
9.219,CA,Antelope Valley of the California High Desert,Kern|Los Angeles,,
9.129,CA,Arroyo Grande Valley,San Luis Obispo,Central Coast,
9.59,CA,Arroyo Seco,Monterey,Central Coast|Monterey,
9.140,CA,Atlas Peak,Napa,Napa Valley|North Coast,
9.230,CA,Ballard Canyon,Santa Barbara,Central Coast|Santa Ynez Valley,
9.118,CA,Ben Lomond Mountain,Santa Cruz,Santa Cruz Mountains,
9.138,CA,Benmore Valley,Lake,North Coast,
9.142,CA,Bennett Valley,Sonoma,North Coast|Sonoma Coast|Sonoma Mountain|Sonoma Valley,
9.232,CA,Big Valley District-Lake County,Lake,|Clear LakeNorth Coast,
9.196,CA,Borden Ranch,Sacramento|San Joaquin,Lodi,
9.37,CA,California Shenandoah Valley,Amador|El Dorado,Sierra Foothills,
9.209,CA,Calistoga,Napa,Napa Valley|North Coast,
9.176,CA,Capay Valley,Yolo,,
9.58,CA,Carmel Valley,Monterey,Central Coast,
9.75,CA,Central Coast,Alameda|Contra Costa|Monterey|San Benito|San Francisco|San Luis Obispo|San Mateo|Santa Barbara|Santa Clara|Santa Cruz,,Adelaida District|Arroyo Grande|Arroyo Seco|Ballard Canyon|Carmel Valley|Chalone|Cienega Valley|Creston District|Edna Valley|El Pomar District|Hames Valley|Happy Canyon of Santa Barbara|Lamorinda|Lime Kiln Valley|Livermore Valley|Los Olivos District|Monterey|Mt. Harlan|Pacheco Pass|Paicines|Paso Robles|Paso Robles Estrella District|Paso Robles Geneseo District|Paso Robles Highlands District|Paso Robles Willow Creek District|San Antonio Valley|San Benito|San Bernabe|San Francisco Bay|San Juan Creek|San Lucas|San Miguel District|San Ysidro District|Santa Clara Valley|Santa Lucia Highlands|Santa Margarita Ranch|Santa Maria Valley|Santa Ynez Valley|Sta. Rita Hills|Templeton Gap District|York Mountain
9.52,CA,Chalk Hill,Sonoma,North Coast|Northern Sonoma|Russian River Valley|Sonoma Coast,
9.24,CA,Chalone,Monterey|San Benito,Central Coast,
9.154,CA,Chiles Valley,Napa,Napa Valley|North Coast,
9.38,CA,Cienega Valley,San Benito,Central Coast|San Benito,Lime Kiln Valley
9.95,CA,Clarksburg,Yolo,,Merritt Island
9.99,CA,Clear Lake,Lake,North Coast,Big Valley District–Lake County|High Valley|Kelsey Bench–Lake County|Red Hills Lake County
9.197,CA,Clements Hills,San Joaquin,Lodi,
9.42,CA,Cole Ranch,Mendocino,Mendocino|North Coast,
9.223,CA,Coombsville,Napa,Napa Valley|North Coast,
9.198,CA,Cosumnes River,Sacramento,Lodi,
9.187,CA,Covelo,Mendocino,,
9.229,CA,Creston District,San Luis Obispo,Central Coast|Paso Robles,
9.150,CA,Cucamonga Valley,Riverside|San Bernadino,,
9.156,CA,Diablo Grande,Stanislaus,,
9.166,CA,Diamond Mountain District,Napa,Napa Valley|North Coast,
9.175,CA,Dos Rios,Mendocino,,
9.64,CA,Dry Creek Valley,Sonoma,North Coast|Northern Sonoma,Rockpile
9.145,CA,Dunnigan Hills,Yolo,,
9.237,CA,Eagle Peak Mendocino County,Mendocino,North Coast,
9.35,CA,Edna Valley,San Luis Obispo,Central Coast,
9.61,CA,El Dorado,El Dorado,Sierra Foothills,Fair Play
9.240,CA,El Pomar District,San Luis Obispo,Central Coast|Paso Robles,
9.168,CA,Fair Play,El Dorado,El Dorado|Sierra Foothills,
9.81,CA,Fiddletown,Amador,Sierra Foothills,
9.221,CA,Fort Ross-Seaview,Sonoma,North Coast|Sonoma Coast,
9.250,CA,Fountaingrove District,Sonoma,North Coast,
9.57,CA,Green Valley of Russian River,Sonoma,North Coast|Northern Sonoma Valley|Russian River Valley|Sonoma Coast,
9.26,CA,Guenoc Valley,Lake,North Coast,
9.147,CA,Hames Valley,Monterey,Central Coast|Monterey,
9.217,CA,Happy Canyon of Santa Barbara,Santa Barbara,Central Coast|Santa Ynez Valley,
9.189,CA,High Valley,Lake,Clear Lake|North Coast,
9.94,CA,Howell Mountain,Napa,Napa Valley|North Coast,
9.226,CA,Inwood Valley,Shasta,,
9.199,CA,Jahant,Sacramento|San Joaquin,Lodi,
9.233,CA,Kelsey Bench–Lake County,Lake,Clear Lake|North Coast,
9.76,CA,Knights Valley,Sonoma,North Coast|Northern Sonoma,
9.254,CA,Lamorinda,Contra Costa,Central Coast|San Francisco Bay,
9.212,CA,Leona Valley,Los Angeles,,
9.27,CA,Lime Kiln Valley,San Benito,Cienega Valley|Central Coast|San Benito,
9.46,CA,Livermore Valley,Alameda|Contra Costa,Central Coast|San Francisco Bay,
9.107,CA,Lodi,Sacramento|San Joaquin,,Alta Mesa|Borden Ranch|Clements Hills|Cosumnes River|Jahant|Mokelumne River|Sloughhouse
9.32,CA,Los Carneros,Napa|Sonoma,Napa Valley|North Coast|Sonoma Coast|Sonoma Valley,
9.253,CA,Los Olivos District,Santa Barbara,Central Coast|Santa Ynez Valley,
9.92,CA,Madera,Fresno|Madera,,
9.235,CA,Malibu Coast,Los Angeles|Ventura,,Malibu-Newton Canyon|Saddle Rock-Malibu
9.152,CA,Malibu-Newton Canyon,Los Angeles,Malibu Coast,
9.236,CA,Manton Valley,Shasta|Tehama,,
9.93,CA,Mendocino,Mendocino,North Coast,Anderson Valley|Cole Ranch|McDowell Valley|Mendocino Ridge|Potter Valley|Redwood Valley|Yorkville Highlands
9.158,CA,Mendocino Ridge,Mendocino,Mendocino|North Coast,Anderson Valley
9.68,CA,Merritt Island,Yolo,Clarksburg,
9.36,CA,McDowell Valley,Mendocino,Mendocino|North Coast,
9.200,CA,Mokelumne River,San Joaquin,Lodi,
9.98,CA,Monterey,Monterey,Central Coast,Arroyo Seco|Hames Valley|San Bernabe|San Lucas|Santa Lucia|Highlands
9.231,CA,Moon Mountain District Sonoma County,Sonoma,North Coast|Sonoma Valley,
9.131,CA,Mt. Harlan,San Benito,Central Coast,
9.123,CA,Mt. Veeder,Napa,Napa Valley|North Coast,
9.23,CA,Napa Valley,Napa,North Coast,Atlas Peak|Calistoga|Chiles Valley|Coombsville|Diamond Mountain District|Howell Mountain|Los Carneros|Mt. Veeder|Oak Knoll District of Napa Valley|Oakville|Rutherford|Spring Mountain District|St. Helena|Stags Leap District|Wild Horse Valley|Yountville
