"ava","overlaps"
"ozark_mountain","arkansas_mountain"
"ozark_mountain","augusta"
"ohio_river_valley","indiana_uplands"
"ohio_river_valley","kanawha_river_valley"
"columbia_valley","yakima_valley"
"columbia_valley","walla_walla_valley"
"columbia_valley","lewis_clark_valley"
"columbia_valley","lake_chelan"
"central_coast","san_francisco_bay"
"central_coast","paso_robles"
"central_coast","monterey"
"central_coast","san_luis_obispo_coast"
"central_coast","santa_clara_valley"
"central_coast","livermore_valley"
"central_coast","santa_ynez_valley"
"central_coast","santa_maria_valley"
"central_coast","paso_robles_highlands_district"
"central_coast","creston_district"
"central_coast","happy_canyon_of_santa_barbara"
"central_coast","santa_margarita_ranch"
"snake_river_valley","eagle_foothills"
"willamette_valley","southern_oregon"
"willamette_valley","umpqua_valley"
"willamette_valley","tualatin_hills"
"willamette_valley","yamhill_carlton"
"willamette_valley","mcminnville"
"willamette_valley","lower_long_tom"
"north_coast","san_francisco_bay"
"north_coast","sonoma_coast"
"north_coast","napa_valley"
"north_coast","clear_lake"
"north_coast","petaluma_gap"
"north_coast","west_sonoma_coast"
"north_coast","sonoma_valley"
"north_coast","suisun_valley"
"north_coast","solano_county_green_valley"
"indiana_uplands","ohio_river_valley"
"arkansas_mountain","ozark_mountain"
"sierra_foothills","lodi"
"sierra_foothills","el_dorado"
"sierra_foothills","clements_hills"
"sierra_foothills","fair_play"
"hudson_river_region","western_connecticut_highlands"
"outer_coastal_plain","cape_may_peninsula"
"shenandoah_valley","monticello"
"finger_lakes","cayuga_lake"
"south_coast","temecula_valley"
"southeastern_new_england","eastern_connecticut_highlands"
"southern_oregon","willamette_valley"
"southern_oregon","rogue_valley"
"southern_oregon","umpqua_valley"
"southern_oregon","applegate_valley"
"southern_oregon","elkton_oregon"
"southern_oregon","red_hill_douglas_county__oregon"
"san_francisco_bay","central_coast"
"san_francisco_bay","north_coast"
"san_francisco_bay","santa_cruz_mountains"
"san_francisco_bay","napa_valley"
"san_francisco_bay","santa_clara_valley"
"san_francisco_bay","livermore_valley"
"san_francisco_bay","solano_county_green_valley"
"san_francisco_bay","pacheco_pass"
"appalachian_high_country","yadkin_valley"
"yadkin_valley","appalachian_high_country"
"yadkin_valley","swan_creek"
"rogue_valley","southern_oregon"
"western_connecticut_highlands","hudson_river_region"
"monticello","shenandoah_valley"
"eastern_connecticut_highlands","southeastern_new_england"
"cumberland_valley","catoctin"
"long_island","the_hamptons_long_island"
"long_island","north_fork_of_long_island"
"yakima_valley","columbia_valley"
"yakima_valley","horse_heaven_hills"
"yakima_valley","rattlesnake_hills"
"yakima_valley","goose_gap"
"yakima_valley","red_mountain"
"yakima_valley","candy_mountain"
"umpqua_valley","willamette_valley"
"umpqua_valley","southern_oregon"
"umpqua_valley","elkton_oregon"
"paso_robles","central_coast"
"paso_robles","san_luis_obispo_coast"
"paso_robles","san_antonio_valley"
"paso_robles","paso_robles_estrella_district"
"paso_robles","paso_robles_highlands_district"
"paso_robles","adelaida_district"
"paso_robles","creston_district"
"paso_robles","san_juan_creek"
"paso_robles","templeton_gap_district"
"paso_robles","san_miguel_district"
"paso_robles","santa_margarita_ranch"
"paso_robles","paso_robles_willow_creek_district"
"paso_robles","york_mountain"
"monterey","central_coast"
"monterey","san_antonio_valley"
"monterey","arroyo_seco"
"monterey","san_bernabe"
"monterey","santa_lucia_highlands"
"monterey","carmel_valley"
"monterey","hames_valley"
"kanawha_river_valley","ohio_river_valley"
"horse_heaven_hills","yakima_valley"
"lodi","sierra_foothills"
"lodi","clements_hills"
"lodi","mokelumne_river"
"lodi","sloughhouse"
"lodi","borden_ranch"
"lodi","cosumnes_river"
"sonoma_coast","north_coast"
"sonoma_coast","napa_valley"
"sonoma_coast","northern_sonoma"
"sonoma_coast","petaluma_gap"
"sonoma_coast","russian_river_valley"
"sonoma_coast","west_sonoma_coast"
"sonoma_coast","sonoma_valley"
"sonoma_coast","mendocino_ridge"
"sonoma_coast","alexander_valley"
"sonoma_coast","dry_creek_valley"
"sonoma_coast","los_carneros"
"sonoma_coast","fountaingrove_district"
"sonoma_coast","chalk_hill"
"sonoma_coast","bennett_valley"
"el_dorado","sierra_foothills"
"el_dorado","fair_play"
"el_dorado","california_shenandoah_valley"
"santa_cruz_mountains","san_francisco_bay"
"santa_cruz_mountains","santa_clara_valley"
"san_luis_obispo_coast","central_coast"
"san_luis_obispo_coast","paso_robles"
"san_luis_obispo_coast","santa_maria_valley"
"san_luis_obispo_coast","arroyo_grande_valley"
"san_luis_obispo_coast","york_mountain"
"napa_valley","north_coast"
"napa_valley","san_francisco_bay"
"napa_valley","sonoma_coast"
"napa_valley","northern_sonoma"
"napa_valley","sonoma_valley"
"napa_valley","los_carneros"
"napa_valley","knights_valley"
"napa_valley","fountaingrove_district"
"napa_valley","suisun_valley"
"napa_valley","moon_mountain_district_sonoma_county"
"napa_valley","solano_county_green_valley"
"napa_valley","mt__veeder"
"napa_valley","calistoga"
"napa_valley","spring_mountain_district"
"napa_valley","diamond_mountain_district"
"napa_valley","wild_horse_valley"
"northern_sonoma","sonoma_coast"
"northern_sonoma","napa_valley"
"northern_sonoma","mendocino"
"northern_sonoma","petaluma_gap"
"northern_sonoma","russian_river_valley"
"northern_sonoma","west_sonoma_coast"
"northern_sonoma","alexander_valley"
"northern_sonoma","dry_creek_valley"
"northern_sonoma","yorkville_highlands"
"northern_sonoma","knights_valley"
"northern_sonoma","fountaingrove_district"
"northern_sonoma","chalk_hill"
"northern_sonoma","green_valley_of_russian_river_valley"
"northern_sonoma","rockpile"
"northern_sonoma","calistoga"
"northern_sonoma","pine_mountain_cloverdale_peak"
"walla_walla_valley","columbia_valley"
"santa_clara_valley","central_coast"
"santa_clara_valley","san_francisco_bay"
"santa_clara_valley","santa_cruz_mountains"
"santa_clara_valley","livermore_valley"
"santa_clara_valley","san_ysidro_district"
"mendocino","northern_sonoma"
"mendocino","mendocino_ridge"
"mendocino","alexander_valley"
"mendocino","anderson_valley"
"mendocino","yorkville_highlands"
"mendocino","redwood_valley"
"mendocino","potter_valley"
"mendocino","eagle_peak_mendocino_county"
"mendocino","pine_mountain_cloverdale_peak"
"mendocino","mcdowell_valley"
"mendocino","cole_ranch"
"lewis_clark_valley","columbia_valley"
"applegate_valley","southern_oregon"
"livermore_valley","central_coast"
